,,"Karma Down Under_VS_Dump, Swing, Huck, Repeat_2015-01-05_20_15_27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Rob Ives,Pass,Stephanie White,Pass,Graham Brown,Pass,Steve Chow,Pass,Graham Brown,Pass,Rob Ives,Pass,Stephanie White,Pass,Graham Brown,Pass,Steve Chow,Pass,Rob Ives,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Maya Popovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mehmet Karman,Pass,Marc Gobeil,Pass,Maya Popovic,Pass,Amelia Keenan,Pass,Marc Gobeil,Pass,Mehmet Karman,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Steve Chow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Graham Brown,Pass,Rob Ives,Pass,Jean Surette,Pass,Steve Chow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Mehmet Karman,Pass,Richard Gregory,Pass,Douglas Brierley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Nick Ierullo,Pass,Rob Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Andrew W Cameron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Maya Popovic,Pass,Marc Gobeil,Pass,Maya Popovic,Pass,Andrew W Cameron,Pass,Shubho Bo Biswas,Pass,Andrew W Cameron,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Graham Brown,Pass,Jim Robinson,Pass,Steve Chow,Pass,Jim Robinson,Pass,James King,Pass,Laura Chambers Storey,Pass,Steve Chow,Pass,Jim Robinson,Pass,James King,Pass,Lissa Greenspoon,Pass,James King,Pass,Jim Robinson,Pass,Graham Brown,Pass,Steve Chow,Pass,Jim Robinson,Pass,Laura Chambers Storey,Pass,James King,Pass,Laura Chambers Storey
